YEAR,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2018,Michigan St.,3,32,64,82
2018,Bucknell,14,64,64,78
2018,Rhode Island,7,32,64,83
2018,Oklahoma,10,64,64,78
2018,Duke,2,8,64,89
2018,Iona,15,64,64,67
2018,UMBC,16,32,32,43
2018,Kansas St.,9,8,32,50
2018,Kentucky,5,16,32,95
2018,Buffalo,13,32,32,75
2018,Loyola Chicago,11,4,32,63
2018,Tennessee,3,32,32,62
2018,Nevada,7,16,32,75
2018,Cincinnati,2,32,32,73
2018,Xavier,1,32,32,70
2018,Florida St.,9,8,32,75
2018,Ohio St.,5,32,32,84
2018,Gonzaga,4,16,32,90
2018,Houston,6,32,32,63
2018,Michigan,3,2,32,64
2018,Texas A&M,7,16,32,86
2018,North Carolina,2,32,32,65
2018,Villanova,1,1,32,81
2018,Alabama,9,32,32,58
2018,West Virginia,5,16,32,94
2018,Marshall,13,32,32,71
2018,Florida,6,32,32,66
2018,Texas Tech,3,8,32,69
2018,Butler,10,32,32,73
2018,Purdue,2,16,32,76
2018,Kansas,1,4,32,83
2018,Seton Hall,8,32,32,79
2018,Clemson,5,16,32,84
2018,Auburn,4,32,32,53
2018,Syracuse,11,16,32,55
2018,Michigan St.,3,32,32,53
2018,Rhode Island,7,32,32,62
2018,Duke,2,8,32,87
2018,Kansas St.,9,8,16,61
2018,Kentucky,5,16,16,58
2018,Loyola Chicago,11,4,16,69
2018,Nevada,7,16,16,68
2018,Florida St.,9,8,16,75
2018,Gonzaga,4,16,16,60
2018,Michigan,3,2,16,99
2018,Texas A&M,7,16,16,72
2018,Villanova,1,1,16,90
2018,West Virginia,5,16,16,78
2018,Texas Tech,3,8,16,78
2018,Purdue,2,16,16,65
2018,Kansas,1,4,16,80
2018,Clemson,5,16,16,76
2018,Syracuse,11,16,16,65
2018,Duke,2,8,16,69
2018,Kansas St.,9,8,8,62
2018,Loyola Chicago,11,4,8,78
2018,Florida St.,9,8,8,54
2018,Michigan,3,2,8,58
2018,Villanova,1,1,8,71
2018,Texas Tech,3,8,8,59
2018,Kansas,1,4,8,85
2018,Duke,2,8,8,81
2018,Loyola Chicago,11,4,4,57
2018,Michigan,3,2,4,69
2018,Villanova,1,1,4,95
2018,Kansas,1,4,4,79
2018,Michigan,3,2,2,62
2018,Villanova,1,1,2,79
2017,Villanova,1,32,64,76
2017,Mount St. Mary's,16,64,64,56
2017,Wisconsin,8,16,64,84
2017,Virginia Tech,9,64,64,74
2017,Virginia,5,32,64,76
2017,UNC Wilmington,12,64,64,71
2017,Florida,4,8,64,80
2017,East Tennessee St.,13,64,64,65
2017,SMU,6,64,64,65
2017,USC,11,32,64,66
2017,Baylor,3,16,64,91
2017,New Mexico St.,14,64,64,73
2017,South Carolina,7,4,64,93
2017,Marquette,10,64,64,73
2017,Duke,2,32,64,87
2017,Troy,15,64,64,65
2017,Gonzaga,1,2,64,66
2017,South Dakota St.,16,64,64,46
2017,Northwestern,8,32,64,68
2017,Vanderbilt,9,64,64,66
2017,Notre Dame,5,32,64,60
2017,Princeton,12,64,64,58
2017,West Virginia,4,16,64,86
2017,Bucknell,13,64,64,80
2017,Maryland,6,64,64,65
2017,Xavier,11,8,64,76
2017,Florida St.,3,32,64,86
2017,Florida Gulf Coast,14,64,64,80
2017,Saint Mary's,7,32,64,85
2017,VCU,10,64,64,77
2017,Arizona,2,16,64,100
2017,North Dakota,15,64,64,82
2017,Kansas,1,8,64,100
2017,UC Davis,16,64,64,62
2017,Miami FL,8,64,64,58
2017,Michigan St.,9,32,64,78
2017,Iowa St.,5,32,64,84
2017,Nevada,12,64,64,73
