YEAR,CURRENT_ROUND,TEAM_A,SEED_A,FARTHEST_ROUND_A,SCORE_A,TEAM_B,SEED_B,FARTHEST_ROUND_B,SCORE_B,WINNER_TEAM
2019,64,Iowa St.,6,64,59,Ohio St.,11,32,62,Ohio St.
2019,64,Houston,3,16,84,Georgia St.,14,64,55,Houston
2019,64,Wofford,7,32,84,Seton Hall,10,64,68,Wofford
2019,64,Kentucky,2,8,79,Abilene Christian,15,64,44,Kentucky
2019,32,Duke,1,8,77,UCF,9,32,76,Duke
2019,32,Liberty,12,32,58,Virginia Tech,4,16,67,Virginia Tech
2019,32,Maryland,6,32,67,LSU,3,16,69,LSU
2019,32,Minnesota,10,32,50,Michigan St.,2,4,70,Michigan St.
2019,32,Gonzaga,1,8,83,Baylor,9,32,71,Gonzaga
2019,32,Murray St.,12,32,62,Florida St.,4,16,90,Florida St.
2019,32,Buffalo,6,32,58,Texas Tech,3,2,78,Texas Tech
2019,32,Florida,10,32,49,Michigan,2,16,64,Michigan
2019,32,Virginia,1,1,63,Oklahoma,9,32,51,Virginia
2019,32,Oregon,12,16,73,UC Irvine,13,32,54,Oregon
2019,32,Villanova,6,32,61,Purdue,3,8,87,Purdue
2019,32,Iowa,10,32,77,Tennessee,2,16,83,Tennessee
2019,32,North Carolina,1,16,81,Washington,9,32,59,North Carolina
2019,32,Auburn,5,4,89,Kansas,4,32,75,Auburn
2019,32,Ohio St.,11,32,59,Houston,3,16,74,Houston
2019,32,Wofford,7,32,56,Kentucky,2,8,62,Kentucky
2019,16,Duke,1,8,75,Virginia Tech,4,16,73,Duke
2019,16,LSU,3,16,63,Michigan St.,2,4,80,Michigan St.
2019,16,Gonzaga,1,8,72,Florida St.,4,16,58,Gonzaga
2019,16,Texas Tech,3,2,63,Michigan,2,16,44,Texas Tech
2019,16,Virginia,1,1,53,Oregon,12,16,49,Virginia
2019,16,Purdue,3,8,99,Tennessee,2,16,94,Purdue
2019,16,North Carolina,1,16,80,Auburn,5,4,97,Auburn
2019,16,Houston,3,16,58,Kentucky,2,8,62,Kentucky
2019,8,Duke,1,8,67,Michigan St.,2,4,68,Michigan St.
2019,8,Gonzaga,1,8,69,Texas Tech,3,2,75,Texas Tech
2019,8,Virginia,1,1,80,Purdue,3,8,75,Virginia
2019,8,Auburn,5,4,77,Kentucky,2,8,71,Auburn
2019,4,Michigan St.,2,4,51,Texas Tech,3,2,61,Texas Tech
2019,4,Virginia,1,1,63,Auburn,5,4,62,Virginia
2019,2,Texas Tech,3,2,77,Virginia,1,1,85,Virginia
2018,64,Virginia,1,64,54,UMBC,16,32,74,UMBC
2018,64,Creighton,8,64,59,Kansas St.,9,8,69,Kansas St.
2018,64,Kentucky,5,16,78,Davidson,12,64,73,Kentucky
2018,64,Arizona,4,64,68,Buffalo,13,32,89,Buffalo
2018,64,Miami FL,6,64,62,Loyola Chicago,11,4,64,Loyola Chicago
2018,64,Tennessee,3,32,73,Wright St.,14,64,47,Tennessee
2018,64,Nevada,7,16,87,Texas,10,64,83,Nevada
2018,64,Cincinnati,2,32,68,Georgia St.,15,64,53,Cincinnati
2018,64,Xavier,1,32,102,Texas Southern,16,64,83,Xavier
2018,64,Missouri,8,64,54,Florida St.,9,8,67,Florida St.
2018,64,Ohio St.,5,32,81,South Dakota St.,12,64,73,Ohio St.
2018,64,Gonzaga,4,16,68,UNC Greensboro,13,64,64,Gonzaga
2018,64,Houston,6,32,67,San Diego St.,11,64,65,Houston
2018,64,Michigan,3,2,61,Montana,14,64,47,Michigan
2018,64,Texas A&M,7,16,73,Providence,10,64,69,Texas A&M
2018,64,North Carolina,2,32,84,Lipscomb,15,64,66,North Carolina
2018,64,Villanova,1,1,87,Radford,16,64,61,Villanova
2018,64,Virginia Tech,8,64,83,Alabama,9,32,86,Alabama
2018,64,West Virginia,5,16,85,Murray St.,12,64,68,West Virginia
2018,64,Wichita St.,4,64,75,Marshall,13,32,81,Marshall
2018,64,Florida,6,32,77,St. Bonaventure,11,64,62,Florida
2018,64,Texas Tech,3,8,70,Stephen F. Austin,14,64,60,Texas Tech
2018,64,Arkansas,7,64,62,Butler,10,32,79,Butler
2018,64,Purdue,2,16,74,Cal St. Fullerton,15,64,48,Purdue
2018,64,Kansas,1,4,76,Penn,16,64,60,Kansas
2018,64,Seton Hall,8,32,94,North Carolina St.,9,64,83,Seton Hall
2018,64,Clemson,5,16,79,New Mexico St.,12,64,68,Clemson
2018,64,Auburn,4,32,62,College of Charleston,13,64,58,Auburn
2018,64,TCU,6,64,52,Syracuse,11,16,57,Syracuse
2018,64,Michigan St.,3,32,82,Bucknell,14,64,78,Michigan St.
2018,64,Rhode Island,7,32,83,Oklahoma,10,64,78,Rhode Island
2018,64,Duke,2,8,89,Iona,15,64,67,Duke
2018,32,UMBC,16,32,43,Kansas St.,9,8,50,Kansas St.
2018,32,Kentucky,5,16,95,Buffalo,13,32,75,Kentucky
2018,32,Loyola Chicago,11,4,63,Tennessee,3,32,62,Loyola Chicago
